,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
R-HSA-416700,-0.033381,-0.05965726,-0.07573922,-0.10886382,0.12934597,-0.03847533,0.14256993,0.2211606,0.08591847,0.22771527,-0.009495799,0.03861035,0.10515138,0.22901265,0.0018681046,-0.11923562,-0.069214694,-0.10705309,0.20476837,0.09667112,-0.12162794,-0.07720989,-0.16874081,-0.14173412,-0.13141754,-0.06942788,0.21537106,0.07831607,0.299855,-0.07639332,-0.148082,0.08549576,0.11215988,-0.17916602,-0.05648005,-0.043251265,-0.10150379,0.13786955,0.14654426,-0.10388318,0.07683018,0.17887357,0.31071627,-0.130939,-0.13583651,0.02007838,0.13768822,0.08826668,0.24745378,0.008344595,0.1668598,0.025893876,0.08091731,-0.096071854,0.0070668645,-0.16050822,0.033975072,0.08578403,-0.032229885,-0.08945841,0.16563767,0.21292783,0.027647315,0.10218699,-0.14683181,-0.04081408,0.18486647,-0.24800804,0.07011028,0.24502009,-0.20990965,0.046177182,0.08212731,-0.020087663,-0.11154581,0.1663238,-0.00026125833,-0.12741126,-0.27365822,-0.08561024,-0.2013878,-0.067735404,-0.20358321,0.0114791505,-0.14976323,-0.0012379289,-0.16648,-0.048467543,-0.09250067,0.112707645,0.064643174,-0.14880444,0.034669664,-0.02588841,-0.12992033,0.066945225,0.07441989,-0.10402295,0.06067094,-0.12666236,-0.091536835,0.013719924,-0.22195588,-0.17352834,-0.19323923,-0.06402202,-0.09781925,0.11234137,0.03575355,-0.073066324,-0.10515015,0.06789084,-0.015417691,0.012130655,0.045191124,0.18567866,0.14063326,-0.1995964,-0.07078924,0.076588154,-0.027339086,-0.14045875,-0.11106384,0.0050124116,-0.26435792,0.1380759,-0.14747623,-0.25984517
R-HSA-6787639,-0.07734376,-0.058577314,-0.1595453,0.030418683,-0.047064077,-0.006421529,0.11676791,-0.09184405,-0.08122696,0.11556668,-0.089905284,-0.016214672,-0.01021418,0.14339687,-0.102938935,-0.05543938,0.057804476,0.077521205,0.05818115,-0.04643223,0.046405204,0.11555262,-0.09114157,-0.003523808,0.0024582036,0.016422946,0.15638858,-0.02004676,0.15872692,-0.06258622,0.036411062,-0.013377897,0.0014877319,0.004945442,0.08182565,0.05906009,-0.09594228,0.053436253,0.11756167,0.08245647,0.111609176,-0.047085274,-0.0749033,-0.117059775,-0.04838756,-0.014389699,0.11666652,-0.113886684,0.010194915,-0.09073788,-0.11514608,0.01066103,0.0017719795,0.053894754,0.10125271,0.047064453,0.006090004,-0.07895318,-0.048336256,-0.010054465,-0.052932683,-0.06746417,-0.012154818,0.102579415,0.04553132,0.0075312667,-0.017566796,0.06089587,-0.06678182,-0.015896264,0.06739718,0.02730588,0.08271231,-0.05825656,-0.07511292,-0.0025576632,-0.053794153,0.043667927,-0.09556961,0.036713634,-0.05218402,-0.014319889,-0.00800757,0.10730702,-0.03863185,-0.03283052,-0.095492095,0.12284878,0.0028565302,-0.014725633,-0.024685938,-0.06084855,-0.07822203,0.075481266,0.07593135,-0.0788086,-0.03558428,-0.05864462,-0.09380904,-0.027471844,0.106755815,0.020331271,-0.024887,0.022998594,-0.005495051,0.017062481,-0.040634774,0.09067214,0.026798557,0.03885786,-0.051453948,-0.07410787,0.105780564,0.11163719,0.00014866516,0.08098546,-0.084257096,0.08135405,0.0587288,0.051354848,0.08853249,0.0029828222,0.06917157,0.070585765,0.12178841,-0.107977405,-0.07778842,0.019870244
R-HSA-202131,0.25935116,-0.15736046,0.1716163,-0.071851924,-0.16042536,0.019856201,0.45174262,-0.01383871,-0.37790543,-0.28200287,0.062475085,-0.18416911,0.039758388,-0.22449858,-0.05929064,-0.07899119,0.028146904,-0.3832449,-0.0522911,-0.18695532,-0.14421538,0.18327123,0.021973364,-0.003763914,-0.09745332,-0.18845615,0.028517406,0.081935436,-0.13382585,-0.29882497,0.10492007,0.29301465,-0.025727767,-0.08837491,0.27672863,0.22088726,0.1182711,-0.13464315,0.02385034,0.15573987,-0.22993375,-0.21783024,0.12826698,0.16024494,0.048372068,0.21005514,0.074434996,-0.27257293,-0.09870936,-0.07581824,0.25417498,0.0056715235,-0.113482885,-0.010222257,0.17644975,0.19519985,-0.04480861,0.08746643,0.020571405,-0.13406338,0.058018904,0.066897586,-0.12107067,0.011368103,0.06187165,-0.25580984,0.45250538,-0.2537886,-0.02510599,0.014205143,0.13379662,-0.08574555,0.25783694,0.20179608,-0.08629602,0.25323004,0.30467474,0.18021567,0.38681316,-0.20356418,-0.089029774,-0.12753202,0.2513609,0.23305906,-0.0419008,0.0415535,0.28433836,0.4336022,0.02687543,0.3159648,-0.13379155,0.1113316,-0.14332297,-0.07746345,0.09834803,0.034630798,-0.041294575,-0.4588445,-0.16184331,-0.12880221,0.32035375,-0.04441794,-0.09042528,-0.33319497,0.023756146,0.054742865,-0.13593172,-0.09885722,-0.29140842,0.1697929,-0.1791098,0.02446257,0.09535144,0.48781198,0.29928222,-0.11717745,0.17174329,0.21921125,-0.11662753,-0.05895719,-0.0183239,0.006460876,0.09622272,-0.027546125,0.34393048,0.31705353,-0.08099133,0.30314308
R-HSA-163200,-0.32618317,-0.18307821,0.030227272,-0.058651388,0.099015996,0.13782093,0.06352222,0.33431822,-0.07139088,0.19876651,-0.0006342281,-0.1362326,-0.16144134,0.16400844,-0.0016339775,0.16260967,0.09361468,0.058460094,-0.36756784,0.5819221,0.2913346,0.037152067,-0.06580596,-0.2641058,0.033595793,0.16182181,0.03304348,-0.31971836,0.37535328,-0.09414621,0.3697183,-0.4224862,-0.07271001,-0.009472007,-0.28581893,0.05880353,-0.16097786,-0.46566552,0.09551479,0.16925718,0.0885768,0.002602011,0.028483562,0.027151752,-0.28339067,0.16698307,-0.103974245,-0.2911403,0.2816249,0.053629104,0.13439533,-0.013808645,-0.36065152,0.0069032228,-0.16296884,0.08113932,-0.3434751,-0.036764305,0.2956997,-0.088005595,-0.18726452,0.25408584,-0.16693886,0.019745983,-0.07766408,-0.08369411,-0.03976646,-0.16747,0.079631925,-0.038221832,0.22096044,-0.021614276,-0.0077439956,0.071362525,-0.41127115,0.024178535,-0.3587405,-0.07203278,0.25816587,-0.06387212,0.11709635,-0.07178782,-0.19387604,0.11299312,-0.12573615,-0.25404623,-0.31379753,0.43905246,0.09835927,-0.13939723,0.08151071,-0.31798065,-0.17553534,0.0037083179,-0.006619759,-0.030320683,-0.09551449,-0.26729035,-0.11459015,-0.050283194,-0.06830578,0.14251903,-0.24831806,-0.030401222,-0.16802621,0.33952042,-0.031413555,-0.07024746,-0.08712129,0.24240763,-0.15920646,-0.25843847,0.032348197,0.026660737,0.07333941,0.28722882,0.042041607,0.036031827,-0.16613795,-0.15321387,0.23849478,0.30701694,0.0685872,0.09414438,0.18024862,-0.007516157,-0.19028306,0.21890706
R-HSA-983695,0.063529536,-0.16401817,-0.06102828,0.03525466,0.18586527,-0.04705299,0.046058882,-0.063496225,-0.0051461104,-0.14688584,-0.27339,0.031771515,-0.14074638,-0.0991312,0.15984705,-0.045975138,0.022926364,0.16038689,0.10288811,0.003970623,-0.062443435,0.010017984,0.07720494,0.08628208,-0.09541442,0.18057555,0.0698568,0.19732167,-0.19292502,0.026540648,-0.116359904,-0.08714327,-0.08017233,-0.036762558,-0.16800237,0.12206729,0.06957716,-0.18899782,0.025224296,0.06110692,-0.14349036,-0.012117427,0.051042125,0.0010285638,-0.1296498,-0.061466254,0.08152321,-0.19632936,-0.18981236,0.13269857,0.09099443,-0.10523632,0.21051797,0.2770845,0.05831752,-0.10519282,0.10672032,-0.07241522,0.0076924236,0.07313362,0.09989786,0.09833838,0.1645302,0.050089225,-0.020086281,-0.022359781,0.023512656,0.0389914,-0.016256515,0.019679036,0.20207147,0.08131034,-0.0036280379,-0.011448788,-0.020386793,0.06362047,0.1405274,0.020251038,-0.09799594,0.03268153,-0.030405799,-0.14401712,-0.023220351,0.06878157,0.08565754,-0.0487123,-0.10576086,-0.15359554,-0.04090641,-0.20625314,0.14585984,-0.19602914,0.0644299,-0.14025743,0.0041639954,0.017578403,0.07009504,0.044742316,0.052818753,-0.19611157,-0.11281098,-0.11437921,-0.046568472,0.14352848,0.11808334,-0.037128326,-0.076471224,-0.16409066,0.15282512,-0.026089463,0.087813154,-0.091994405,-0.14371917,-0.21940453,0.007741142,0.09807192,0.012237394,0.25894713,-0.058159456,0.07382029,0.009006545,0.05297475,-0.13636376,0.11810309,0.036765255,0.072937444,-0.00068954006,-0.04995742
R-HSA-3000178,-0.05234913,0.04181374,0.04580885,0.023359234,0.08845027,0.103486806,-0.08956105,-0.06368495,-0.039938476,0.062023286,0.10409206,0.081875905,-0.023951791,0.00022430345,-0.08969417,-0.12231313,0.11843634,0.112646915,-0.06586839,-0.13632137,0.03751503,-0.037931766,0.082995504,-0.05788712,-0.074707545,-0.042151753,0.12900335,-0.20619646,-0.13851662,-0.012260385,0.08688403,0.085974745,-0.09190538,-0.021869175,0.16524163,-0.078155756,0.05893848,0.08939379,-0.04789553,0.0056170393,0.15884906,0.030087903,0.014031198,-0.0044014566,-0.015399028,-0.24232695,0.08292495,0.09519111,-0.071108244,0.09792094,-0.018703498,-0.10221643,0.036779813,0.16949609,-0.041480385,0.030112315,0.12397012,0.08521254,0.031651054,0.1663669,0.17969859,-0.00955154,0.07100964,0.042517792,-0.15051945,0.11891424,-0.25824726,-0.029765833,0.12194819,0.024314385,0.17278983,-0.10675668,-0.07140805,-0.0259284,-0.16249493,0.062249802,0.0006059874,-0.15410347,0.041641407,-0.1319674,0.06452988,0.22694546,0.10295375,0.04818239,-0.090745926,-0.059299663,-0.0534817,0.026973918,-0.15692808,-0.1295369,-0.11865404,0.14205232,0.2298033,0.103639975,-0.054096453,0.108715475,-0.19923274,0.18794543,-0.23481031,0.035220113,0.034407817,0.016400024,0.062424105,-0.21350622,0.15013574,-0.108017236,0.021511938,0.10016135,0.075808555,-0.17907016,0.009921955,-0.28368768,0.012241952,-0.14157723,0.04901302,-0.13452306,-0.111121565,-0.061802726,0.082512274,-0.010205872,-0.11701237,0.14552999,0.08972727,-0.016336517,-0.05512234,0.01941159,0.09932573,0.11132574
R-HSA-880009,0.0065729283,-0.007776873,0.0032219477,0.008171572,0.012749067,-0.019453574,0.019767772,-0.047076277,0.05624627,-0.08313184,0.014204639,0.0748269,0.0053230003,-0.09856965,-0.11130741,-0.042958293,-0.0077452585,-0.08011103,-0.04426531,-0.04991591,-0.0035461653,-0.020886354,-0.0028464529,0.062730044,-0.07539229,-0.06191236,0.012990401,0.07731352,0.016688487,0.056698274,-0.048952453,-0.009017684,-0.04044958,-0.056172222,0.06505983,0.018826528,0.05300245,0.0070675667,0.041918542,0.05625636,0.06503236,-0.049955994,0.02104892,0.08956468,-0.04091991,0.0741878,-0.032674946,0.02749114,0.007686617,0.026131518,0.018058414,0.011195898,-0.042595,-0.054851115,-0.06258377,0.020818193,0.041542515,0.09648298,-0.040769044,-0.0891706,0.009516942,0.031475995,0.030648546,0.031678077,-0.0030805096,0.052197218,0.026297102,0.03567397,-0.010640983,0.06697191,0.010891523,0.0558722,0.044667747,0.047243718,-0.0020137345,-0.018377725,0.0141298985,-0.003732187,0.043987162,-0.05356736,-0.046755973,0.050558984,0.038229477,-0.04250405,0.0057034213,0.039741617,-0.036810625,-0.0034557842,0.0194192,0.07763732,0.032432474,0.009885336,-0.0018317513,0.008698816,-0.05137804,0.02360837,-0.019350033,0.032176144,-0.023479085,-0.0014482904,0.013355415,-0.008328263,0.010868633,-0.019579701,-0.016144281,0.080209225,-0.055428114,0.07402493,-0.055966794,0.07175559,-0.030128406,-0.06511381,0.025839712,0.031855386,-0.0165435,0.06558382,-0.013304323,-0.019380517,-0.03395647,0.07721718,0.032281496,-0.03660833,0.04147152,0.034438945,0.03441091,-0.012549074,0.06260416,-0.020268736
R-HSA-2262752,-0.19115812,-0.028742976,-0.17780353,0.27442735,-0.007277608,-0.3139905,0.3504987,0.16532518,0.24400593,-0.027911488,0.05623747,-0.38061675,-0.07491161,0.05225769,-0.23971294,-0.23330884,0.12007484,0.37434787,-0.2988976,0.2575546,-0.327875,0.20194852,0.534586,0.5425024,-0.37203395,-0.11684067,0.18526061,-0.28222215,0.2213469,-0.10357162,0.14863443,-0.40909424,-0.099457264,0.39382094,-0.19460937,0.09616858,0.17291963,-0.09209847,0.29320842,-0.33620447,-0.0051604807,-0.2748678,-0.15848537,0.37528625,-0.09061052,0.23324439,-0.0115894675,0.25492987,0.4436939,-0.29404813,0.103503555,0.15935153,0.26593632,0.10913467,0.36749247,-0.52949464,0.39384493,0.44495907,-0.37380725,0.0139174685,0.26231736,0.34819454,-0.30069572,0.095533356,0.33646405,0.09012408,0.07454934,0.3046944,0.19224085,-0.35797593,0.060054973,0.07248007,-0.14893349,0.52415687,0.27692887,-0.26086593,-0.19433282,0.3033629,-0.07919501,-0.039621837,-0.5069005,-0.30699015,0.20288768,0.38983595,-0.35775426,-0.11633282,-0.26573533,-0.5106914,0.46424222,-0.016915277,0.33655924,0.066449314,-0.44074515,0.32214496,0.014111936,0.4295318,0.4957169,0.08385995,0.06398462,-0.08491458,-0.18439168,0.46573925,0.37272677,0.4190589,-0.031286992,0.41127324,-0.14872104,0.22825992,0.13186832,0.45841408,-0.57845414,-0.25331298,-0.22200766,0.019597355,-0.10457763,0.13849872,0.25977695,-0.23838076,0.37256658,0.051411107,-0.50487906,-0.046045594,0.05354164,0.15389165,-0.22857046,0.5917488,0.44686007,-0.32558212
R-HSA-480985,-0.009730043,-0.045188405,-0.00229772,0.00018996035,-0.010720525,0.020577818,-0.005217986,-0.015778527,0.0073529733,0.015503196,-0.045398995,0.06495517,-0.024925955,0.04230183,-0.009934798,0.017410584,0.047007915,-0.0042955503,0.062176067,-0.079322785,-0.0037107645,-0.020841712,-0.02827933,-0.000672251,0.0023210943,0.04586336,-0.0007879101,0.056856204,0.04693938,-0.010102995,-0.045651723,-0.039489508,-0.03750454,0.018461315,0.010937141,-0.000918258,-0.053896096,0.015281537,0.09024945,-0.0060567744,-0.008592434,-0.071674585,-0.013419639,0.027858678,0.033671774,-0.043412678,0.07597192,-0.09346551,-0.061880965,-0.032859903,-0.004383806,-0.006318379,0.046292014,0.026956953,-0.00018936023,0.048581257,-0.010629233,0.048512403,0.021471836,-0.06950729,0.020144887,-0.007072785,0.051393148,0.09115791,-0.004949365,0.034815423,-0.030106809,0.021452382,-0.036670208,0.051560685,-0.07704836,0.0071015134,0.012325197,-0.05357014,-0.05852956,0.02853389,0.0036817808,0.020704266,-0.026305273,-0.008092266,-0.009472767,0.005296368,0.029162291,0.025314452,0.04408667,0.040843394,-0.082366645,0.0092272535,0.032266103,0.01757076,0.0072359187,0.025531288,-0.002851436,-0.016529556,0.019134704,0.043463394,-0.01552184,0.054945625,0.015628565,0.027147584,-0.03310606,-0.0322754,0.010775887,0.0139198415,0.0029915292,0.04519892,-0.042976018,-0.017121471,0.023312546,0.035392843,-0.053613268,-0.053567834,0.014129033,-0.011224728,-0.045904055,0.032504044,-0.011380641,-0.0015436285,0.021336436,-0.023063669,0.015457485,-0.037739165,-0.0036085788,0.011887541,0.0021756068,0.015804693,0.026980214,-0.021257812
R-HSA-69166,0.296626,-0.102245845,0.19242221,-0.087037325,0.17405993,0.12368429,-0.15358046,-0.09178694,-0.16333017,-0.14302348,0.10902627,-0.064922184,0.093487576,0.19202808,0.017016444,0.1737755,-0.2362974,-0.10427783,0.24535756,0.027121823,-0.06684326,0.009365454,0.09776575,0.14541009,0.19075285,0.1710436,0.21253906,0.0398516,-0.24195372,0.19409011,-0.2244412,0.08613906,-0.22185148,-0.07019666,-0.00950617,-0.0048075095,0.026700765,-0.07192554,0.10510113,-0.12519898,-0.106904715,-0.036590096,0.16359037,0.015249949,-0.14924069,-0.11909382,-0.08680389,-0.12276083,0.07565857,0.04197862,-0.06820971,-0.1516263,0.030133178,0.12179168,-0.031046962,-0.29699615,0.06666246,0.06893399,-0.04964608,0.14706293,0.14188889,0.046482693,-0.04109568,-0.12378607,0.06872803,-0.06757481,0.30358773,0.16446924,-0.033487022,-0.14502285,0.26445568,0.05234263,-0.08957985,-0.21283516,0.10766861,-0.19837458,0.26020193,-0.030992676,-0.16414377,-0.020999629,-0.18694997,-0.17060223,0.07388656,-0.056279004,0.10561809,-0.09555898,-0.23851262,0.04121212,0.12598869,0.16852546,-0.004931026,-0.18654154,-0.042256527,0.10961343,-0.16946799,-0.007846275,0.0009675296,-0.18462324,0.23579036,0.12918214,0.12377348,-0.25851962,0.11506151,0.08462612,0.04483161,-0.14545561,-0.03720357,-0.13516033,0.15476212,-0.08232408,-0.07539249,-0.058678813,0.11757686,-0.18452099,-0.11888369,-0.029984698,0.13664305,0.24903351,-0.06626984,-0.0053627715,0.19680187,-0.103846446,0.041822657,0.087281056,0.18045396,-0.22851622,0.2265867,-0.27077717
