name,values
R-HSA-1266738,6.9179338
R-HSA-1643685,6.5186306400000005
R-HSA-1430728,6.48960606
R-HSA-162582,6.36236076
R-HSA-168256,4.4714216
R-HSA-74160,3.8030619599999995
R-HSA-5357801,3.70740702
R-HSA-8953897,2.668585524
R-HSA-5653656,2.59737448
R-HSA-112316,2.55075958
R-HSA-382551,2.4181339
R-HSA-1640170,1.9920972
R-HSA-392499,1.73258458
R-HSA-69306,1.176062984
R-HSA-8953854,0.0593523869
R-HSA-73894,0.029101713480000003
R-HSA-1500931,0.0018177299400000003
R-HSA-9612973,0.0009740994292
