name,values
PRKCB,1.46658806
CCNE1,1.046619326
TFAP2D,0.8588572000000001
ZNF521,0.795161864
PDE1C,0.734241294
PPP2R5A,0.703495266
PPARG,0.6745885859999999
NGF,0.6719424300000001
NRG1,0.6622406180000001
PSMC1,0.637488498
NUP133,0.598106456
ARHGEF17,0.596771618
SATB2,0.5955103420000001
ARF1,0.593356154
STK11,0.59018745034
BLM,0.569109042
TFAP2B,0.550300446
CLASP1,0.534014348
CALM1,0.4970613848
NUP188,0.496590066
PSMD11,0.49639050199999996
EXO1,0.476318824
PIP4K2A,0.45814129000000003
NUP160,0.45215794040000007
RMI2,0.44884385
CHST8,0.4327769040000001
MUC5AC,0.4303692011419999
GNE,0.41453997942000004
NINL,0.40903807
KCTD15,0.39120852
ITGB1,0.3856362296
NEDD4L,0.38514306200000004
SCN3A,0.37833226999999997
ADD1,0.375747216
OFD1,0.36989315799999994
PALB2,0.36726769
CPSF2,0.36607039746
ST8SIA4,0.3656624448
SPTBN5,0.36538621200000004
PIP4K2C,0.36467257760000005
PIK3CB,0.362501956
SOCS1,0.36031483880000004
FUOM,0.35937268
UNC5D,0.3590024248
RPA3,0.356273476
CEP164,0.338176426
ECHS1,0.3348590132
MVD,0.3213527
RPS4X,0.310310814
SPDL1,0.3096185734
PTK2,0.3005634324
GFPT1,0.298738904
CYP2E1,0.2943742016
HGF,0.29384298799999997
XRCC2,0.29369511540000004
CSGALNACT2,0.292964388
NEU3,0.292097812
YWHAQ,0.29052139399999993
KDR,0.28889829600000005
KIF22,0.284803676
COPG1,0.2778010956
SMARCA4,0.27767443480000004
SQSTM1,0.2769794398
MAML3,0.2756843536
CNOT6L,0.27443865266
PSENEN,0.2521283962
NDUFA4,0.251541286874
FLT1,0.2509928032
CUL7,0.2499592046
LAMTOR1,0.24743380200000004
PSMB8,0.2463261596
HRH2,0.245595797
CXCR2,0.24520160247999997
PSMD8,0.243827318
GFPT2,0.24174701727999998
CHPF2,0.2404155926
TUBA4A,0.23924267540000002
