name,values
R-HSA-3781865,1.3304644
R-HSA-166658,-4.2473157e-08
R-HSA-190236,0.66298604
R-HSA-5173105,0.012784058
R-HSA-422356,-6.3836414e-05
R-HSA-9735804,0.0
R-HSA-9759774,0.0
R-HSA-3304351,0.372639
R-HSA-112311,0.044283614
R-HSA-1227990,0.0
R-HSA-69615,0.91532654
R-HSA-1614635,0.32464772
R-HSA-3296482,2.3077545
R-HSA-69481,0.081949346
R-HSA-453276,0.15155579
R-HSA-6802957,0.4352843
R-HSA-170834,0.08267068
R-HSA-9663891,0.0267723
R-HSA-9671555,0.0
R-HSA-5213460,0.16292243
R-HSA-453279,0.054653626
R-HSA-2990846,0.627017
R-HSA-6811442,1.1989142
R-HSA-9697154,0.0
R-HSA-194138,0.76524115
R-HSA-163200,0.035252783
R-HSA-425393,0.5392602
R-HSA-5339562,1.1467146
R-HSA-209776,0.07154683
R-HSA-453274,6.614569
R-HSA-5621481,0.0084560625
R-HSA-9630747,0.0
R-HSA-5693538,0.36390257
R-HSA-421270,0.002158235
R-HSA-71406,0.0008726583
R-HSA-6803157,0.12041893
R-HSA-68886,0.48853782
R-HSA-9679506,0.0
R-HSA-1489509,1.1092707
R-HSA-72613,-0.0023478093
R-HSA-157858,0.27431244
R-HSA-168898,0.12688632
R-HSA-1834949,0.0011484907
R-HSA-5663084,2.172423
R-HSA-9734009,0.00051841605
R-HSA-109606,2.4418325
R-HSA-983169,0.19330174
R-HSA-74752,0.14795096
R-HSA-211945,0.020823935
R-HSA-1483257,0.923574
R-HSA-9651496,0.0
R-HSA-9669938,0.0
R-HSA-166520,2.30325
R-HSA-5684996,0.018873878
R-HSA-156580,0.07021568
R-HSA-73929,0.045081444
R-HSA-112314,1.0698771
R-HSA-163841,-0.0036190734
R-HSA-196849,-0.0019477877
R-HSA-8957322,0.3195588
R-HSA-75153,0.0695472
R-HSA-9018678,0.30279475
R-HSA-168643,1.878566
R-HSA-1227986,0.7535803
R-HSA-422475,0.9453448
R-HSA-2644603,1.8630457
R-HSA-157579,0.0010985095
R-HSA-446203,1.1014011
R-HSA-9687139,0.0
R-HSA-194315,0.49693498
R-HSA-212436,2.6907668
R-HSA-388396,0.064199254
R-HSA-69618,0.0037530481
R-HSA-1630316,1.4664725
R-HSA-9673013,0.0
R-HSA-162906,0.9414429
R-HSA-9658195,0.0
R-HSA-500792,0.5384509
R-HSA-201681,0.089332625
R-HSA-69242,0.1760479
R-HSA-9711123,0.0
R-HSA-9012852,0.49386868
R-HSA-9675136,0.0
R-HSA-193704,0.4740211
R-HSA-69190,0.060999654
R-HSA-9605308,0.0
R-HSA-1296065,5.0543662e-05
R-HSA-425366,0.08040267
R-HSA-3371556,0.34908214
R-HSA-70326,0.49303913
R-HSA-8978868,0.6443529
R-HSA-388841,0.70957154
R-HSA-913531,2.6892495
R-HSA-9682385,0.0
R-HSA-168255,0.36352625
R-HSA-73933,-4.146726e-07
R-HSA-983705,1.4492918
R-HSA-3858494,0.105412014
R-HSA-9635486,0.009174832
R-HSA-390466,0.00053816865
R-HSA-1643713,0.3386235
R-HSA-8956319,6.435434e-07
R-HSA-1226099,0.33884016
R-HSA-72202,-0.0005300969
R-HSA-5357769,0.33605593
R-HSA-1257604,0.119663216
R-HSA-4791275,1.817526
R-HSA-2559583,0.62200814
R-HSA-112310,0.15014015
R-HSA-8939211,-0.000144563
R-HSA-449147,0.67105407
R-HSA-2404192,0.24044685
R-HSA-381119,1.3088883
R-HSA-6806834,6.9097896
R-HSA-9700206,0.0
