name,values
SMOX,0.0
DEFB106A,0.011978728
C1R,-2.991034e-08
ST3GAL2,0.0074888817
PDIA3,0.0151735265
ESRP1,0.0
CTDNEP1,0.0
NET1,-0.03383396
ACKR4,0.005423601
KIFC2,0.008931862
HERPUD1,-0.045276213
HIST3H2BB,0.12816659
MCF2L,0.00029704516
NMB,-5.3744175e-06
NDUFAF5,-0.0020084744
COPZ1,0.0
IFNA7,0.13457537
KIF18A,-7.1794757e-06
TMED3,0.0
GNS,3.2110096e-05
FLT4,0.0023512735
IFNA5,0.047373407
ACOX3,0.07332552
TAF13,0.11299966
PISD,0.0014500252
PON2,-0.00034212563
DCTN6,5.6500696e-08
CCK,-0.011812436
WWP1,0.15337446
ACTR2,0.14863431
TAAR5,0.0
MAD1L1,-0.009342238
UPF3B,-0.0069655674
FLT3,-0.35338795
RHO,0.07235606
GPD2,-0.14912204
PIP4K2B,0.0
PDCD6IP,-0.0050112414
RASA2,0.005938728
CLSPN,9.2178234e-05
IL1RN,0.011049605
CYP26A1,0.0024120482
TCF7,-8.796761e-05
ACTG1,0.017522924
FGF2,0.15663566
CHMP3,0.061484452
SMUG1,0.0
KIF22,0.031487193
STEAP3,0.21447375
UPF3A,0.0027247148
ARHGEF10L,-0.23176354
PCM1,0.05128633
C1QC,-8.257753e-09
CHST8,0.71958774
PAFAH1B1,-0.1016784
KMT2D,0.0
PTGER4,-0.04055674
PLEKHA2,-0.04751827
PRKAR2B,0.397197
MCHR1,0.08947227
CFP,0.0
DEFB104A,0.009251825
CDC37,0.06380822
GNG3,0.03711868
TSHB,-2.206872e-06
ADAMTS17,-0.0662082
ROCK1,-0.03786607
CNTF,0.16565087
GPC2,-0.0036547803
CASP9,-0.021011267
IFNA10,0.087693766
IGFBP1,0.0
MEAF6,-0.0008605271
RNLS,0.0
SOCS1,0.40738654
B9D2,-0.06685894
CLASP2,-0.010714052
MUC13,-0.007302724
SATB2,0.30867782
MUC5AC,1.2283543
MLH1,-0.002643869
SEMA4A,-0.18759671
PLD3,0.10322547
PCBP4,0.005253919
TLR1,-0.013447218
ADPRHL2,-2.7287024e-08
CHRNA7,-0.040758606
CHMP4A,0.010602441
RAD1,-0.14651637
SKI,-0.0001692138
POU4F1,0.0
CRLF1,0.006752803
NGF,0.69588417
PDE1B,0.0
HUS1,0.0
RPS3,0.0
TRPC5,0.005320744
TAX1BP3,-0.0026245378
CANX,0.014548075
POLR2F,-0.159374
HNRNPF,0.24646068
NPY,0.008610038
GTF2E1,0.07533881
PMS2,0.017083913
GPI,0.12955387
JAK1,-0.2869165
CSNK2A1,-0.123054326
CYP2A13,-0.025982993
PPP2R2A,0.0011416628
STK11,1.0563687
SEMA6D,-0.006564824
ARHGEF39,0.17810383
OPN3,0.0
IQGAP3,-0.05924679
NFATC1,-0.007471918
MAML3,0.5598039
PSME2,0.015154824
RPSA,-0.013063917
NDUFB1,0.105677254
PLEKHG2,-0.037373714
LTC4S,0.010708019
SQSTM1,0.45372304
EFNA3,0.0010515862
ARHGAP35,0.0952525
CPSF1,-0.007923767
P2RY14,0.046406843
CHST12,0.08450991
DSEL,0.057161555
FGF23,-0.04976639
NUDT15,0.0
ARHGEF10,0.09749443
SCD,0.0
TUBGCP5,0.15493086
SLC30A2,-0.0029344314
PIP5K1A,0.05768015
FGF1,0.21651426
NPS,-6.6508056e-11
BUB1,0.16503848
NFKBIB,0.01837756
MUC3A,2.2463406e-05
PDP2,0.0
CYP4F11,0.01716601
PRKACA,0.41679668
SKP1,-0.13381077
SLC44A1,0.051971428
HIST2H2BE,0.0
GFPT2,0.24980003
ACTL6B,0.017945273
FUCA1,0.108552456
NEU3,0.65240455
IL12RB1,0.014905523
COX8A,0.0074494416
FFAR2,-1.6620043e-05
ERCC3,0.11966397
DYNC1H1,0.4095026
CNOT6L,0.07103554
RUFY1,0.07283622
PDE1C,1.0979596
NUP133,0.76943326
AGO3,-0.10153124
RPL15,-0.0032886008
CAPZB,0.0002867423
CCR5,0.0
GLYATL2,0.2121475
SPRED3,0.08925568
CCL27,-0.05643846
MSX2,-0.01877347
NCAPG,0.0
EIF4H,0.0026842772
SV2A,0.0
OFD1,0.19658765
CD4,-0.006666787
BMF,0.00045512765
NSL1,0.006632441
FGF18,0.05553331
ANAPC15,0.11289596
EDNRB,0.14255261
PLA2G5,-0.11504783
FLRT3,-0.045334674
CXCR6,0.016047044
SLC22A13,-2.7460214e-06
NEIL2,0.17343593
CXCL6,0.07932097
COX7B,0.11167419
FZD7,0.014669614
APBB1IP,0.0006988447
TAC3,0.043265328
AGRN,-0.033818185
UNG,0.0
GJB3,-0.017260756
NRIP1,0.0
CHAC1,0.09867963
ROCK2,0.0
PINK1,-0.0032807956
DEFB134,0.0068971068
YWHAQ,0.09016497
CDK11B,-0.0065997727
PON1,0.0030913414
HDAC9,0.016782003
STAB2,-0.002138202
TPX2,-0.00052781525
TUBB3,0.0073703714
KIF3B,0.0
PIK3R1,0.37723923
TAF4B,0.00088848895
SLCO1B3,-3.819554e-05
RICTOR,-0.2577614
XRCC6,-1.8550876e-05
ACOT4,0.0032391762
RPS6,0.011224722
HTR6,-0.06402412
PIP4K2C,0.35530245
PSMB8,0.011553034
GLB1L,0.0010727589
DEFB105A,0.0051897704
B3GAT3,0.028428245
PDK4,0.0060930303
IL1RL1,3.1956108e-05
SLC39A3,0.0
AGTR2,0.0125650745
DVL2,0.0
PRDX1,-0.035834797
CPSF2,0.15328106
CFTR,0.023622677
ACTR3,0.13177526
UBA52,-0.010465469
MAP2K2,0.009324743
CEP70,0.24448307
LMNB1,-0.073408544
DAB2IP,0.03133478
BCL2L11,0.19702035
PKN1,0.0400014
OGG1,0.0
AMFR,-0.0067754244
NDUFA1,-0.0012183888
PIK3R4,0.1805632
PSMB4,0.0
IRF7,0.026845183
GAB1,0.0
SERPINE1,0.0
TP53BP1,-0.013246691
PITPNA,0.00025204642
SLC22A8,0.00078995083
HS3ST6,0.17243473
OSBPL5,0.046722498
MAPK11,0.0
CACNA1D,0.0
ADCYAP1,0.0060108732
CDC14A,0.0
GRIK5,-0.08972968
LPGAT1,0.09860456
CCR3,0.00041975922
CRKL,0.00064133934
CALM1,0.64953095
MEN1,-0.0009167236
NDUFB8,0.0
ERBB3,0.0
AGO1,-0.045929722
STARD10,0.0672995
DUSP1,0.0019673507
DEFA1,0.0047185426
ACAA1,-0.015190889
PTK2B,0.0005800588
DIAPH1,0.001972897
RAE1,0.0
MAF1,0.012899243
OSBPL10,0.0
EFNA1,3.091115e-05
RPA3,0.18468113
VPS4A,-0.011027686
AKR1C4,0.0005657837
DEFB128,-0.0015031099
RIPK3,0.0040782
CHRND,0.0003789595
HOXA2,0.0002073963
NRG1,0.8665757
CTNND1,0.014103016
LCK,-0.0880697
HRASLS2,0.0002871358
TXNIP,0.015400927
PIP4K2A,0.9258267
CYSLTR1,-0.0024133201
CHST5,-0.0036128138
NCBP2,0.20249529
TGFA,2.0072514e-07
SERPINH1,0.036102664
NOC2L,-0.038459558
CHMP2A,-0.09123841
AP1M1,0.05440859
IFNAR2,-0.114022315
GRIA1,0.02250297
CHRNA2,0.0004055601
CALR,0.23841928
SEC22B,0.029427547
ACOT6,0.0034542936
HRH2,0.2511918
KMT2B,0.057645373
BRS3,0.0
ASF1A,0.00014340517
TUBA1A,0.14615977
GLI3,0.0
HPSE2,0.0
ARID2,-0.01472361
TLR5,0.22953722
NUDT1,9.0086746e-07
NEDD4L,0.49211484
TFDP2,0.14146039
LHX2,0.0
CYP51A1,0.0010992127
EPHB1,0.0030150732
CDCA8,-0.0032218248
ECSIT,0.001429293
TSPO,-0.00035566173
DEFA5,0.0045202826
MASTL,-9.067772e-07
POMC,0.0
RGCC,0.0014494151
CGA,0.00093443005
ARHGEF28,0.05045394
CCNE2,0.3740112
CDK5,0.18247265
FUT3,0.0
IL2RA,-0.019913455
CCT7,0.09264226
SCN1B,0.03270684
WFS1,0.2512324
RNF139,0.12929901
PRKCSH,0.024792543
HSD3B2,-0.0023844582
COL6A6,0.030857153
POLR2I,0.20996873
ARFGAP1,-0.5320857
CX3CR1,-0.02263226
OSBP,0.0011778142
GCK,0.0
HS6ST2,0.005067185
HAUS4,-0.017983075
NDUFS6,0.028728003
CD86,0.11750063
DRD5,0.46027148
SMC3,0.07505789
CUL1,0.2844858
TUBB6,0.0004516614
NDUFAF4,0.0
SCRIB,0.0
RPS6KA4,-0.017981699
NDUFB4,0.003905409
CLASP1,0.46843272
SEC62,0.013883666
IL27,0.0
RPS25,0.01778762
GNB1,-0.0154196005
VAV1,0.0
ALOX15,0.00013946097
HSPA2,0.0
MKNK1,-0.0056332876
UBE2V1,-0.024445644
COX6B1,0.07394639
TYROBP,0.008982355
ABR,0.0
PRMT5,0.045570243
RANBP2,0.11877887
IL1F10,-0.04079544
ST8SIA6,-0.10437831
MLST8,0.4532713
TOPBP1,0.40885493
TNFRSF10C,0.004630486
GNE,0.37048605
DEFB103A,0.012969825
TRIM24,0.034582645
OSBPL3,-0.05714792
FMOD,0.0
CEP250,0.2704801
NR1I2,0.036708333
NR3C1,0.14187008
TAF12,-0.029533938
MFN2,-0.03430603
OSM,-0.028842399
TERT,0.0
ZBP1,0.0
YY1,0.0010282008
HTR5A,0.4471624
IL1RL2,0.15434662
PFN1,0.0027099648
RCC1,-0.009883642
NDUFB9,0.059610065
CENPH,-0.004703086
TNFRSF10D,0.0027193872
GJB5,-0.026091458
ARF1,0.6096116
MASP2,6.3724688e-09
MAP2K7,0.12924808
AGO4,0.0069635976
SBF2,0.16744696
SDC3,0.0022993344
AVP,-0.09149298
PPIA,0.0
SUOX,0.0
SMC5,0.0036777223
RPL11,0.00087066146
DRD3,-0.08266052
BAMBI,0.37880105
TRIM25,0.413446
ACKR1,0.028103296
PDE4A,0.08449339
CACNG2,0.0
MVK,-0.0022166828
ECHS1,0.18150106
SMURF2,0.018617991
FKBP14,0.0018418762
CYCS,0.028392233
RPS4X,0.13977924
ZNF521,0.3196425
ADAMTS12,-0.046460036
ACP6,0.0
SUPT5H,-0.03559564
HSPA1B,0.0067364215
ARF3,0.0
SLC25A27,-0.017025461
PIN1,0.0
CD8B,0.0027354588
CHST2,0.007137503
MEF2A,-0.32579648
ACOX2,1.1474171e-05
ACOXL,0.0009452633
MTMR9,0.15676111
TWIST1,-0.0026588195
HSD17B4,0.08157973
GRIP2,-0.007165566
DUSP4,0.18189168
GSTA2,-0.027484989
ACSL4,0.0006160205
P2RY13,0.07742804
KPNA4,0.027633263
MIB2,-0.004746831
RAF1,0.038400233
MTA2,0.003979628
DEFB132,-0.0032775584
FFAR3,-0.00037721294
VEGFA,-0.0072775222
CLTB,0.030756807
KIF13B,0.005456987
PLEKHA6,-0.034279596
FKBP1A,-2.3958859e-05
CARM1,3.7556718e-05
RAB5A,-0.0005230561
TUBA1B,0.0
PSMD8,0.28721392
MAPK9,0.13314466
RPS6KA6,0.0
UBC,0.0
MAP2K6,0.048433587
HYOU1,0.015703766
PNPLA6,0.0
PFDN1,0.0
GNG11,-0.00041791113
SPTBN2,0.026321694
MMACHC,0.06156925
MAN1C1,0.0005401331
CRK,0.001853466
MTA1,0.0
SLC25A5,-6.5364457e-06
DPYSL5,2.8015613e-05
TOMM5,0.5793554
GSPT1,0.28778544
IL1B,-0.0012526279
CHMP2B,0.03532528
CD28,0.0
GPC4,0.02193654
NIPBL,-0.0002696209
EPHA2,0.002080644
OPRM1,0.058206815
ATP1B4,0.000101487494
DPYSL2,0.00013321414
FGFR1,-0.069633745
LPAR2,0.00017208006
NUDT16,-2.5742983e-07
PRMT6,0.0
OXT,-0.20531562
DSP,-0.26020288
PMVK,0.0059341076
SMARCC2,0.0
OTUD3,0.0016646545
PNPLA3,0.092146024
OCRL,0.030447353
HIC1,-0.010270612
LIF,-0.020264352
XPO1,0.0
PFDN6,0.00016588304
NDUFA4,0.2952016
C1QB,1.3686708e-08
CRMP1,0.010769114
ACSL6,-0.007845393
RHPN2,0.06467808
SMC4,0.0015218713
KDM1A,-0.00010831952
EZH2,0.019919705
TAF6,0.07861761
ARHGAP39,0.00011892861
PRDX5,-0.000492273
PHC3,0.09514895
CYP8B1,-0.009820698
PAK3,0.0072933948
RPA1,-0.05226965
MGAT4C,0.045221772
IL3,0.006876208
SMURF1,-0.0048622377
RND1,0.0
ACTB,0.0362659
CDC27,0.0042004287
RHOQ,0.0
SPRED2,0.4177224
ST8SIA4,0.016071128
DEFA6,0.009931161
POLA2,0.0
P2RY10,0.33586583
SPC25,0.0
RAB4A,0.24123566
HRH4,0.0
ARHGEF26,0.12109718
CNTFR,0.012332774
SEMA5B,0.07112077
SLC34A2,0.062700644
IL36A,0.0010926311
MAML1,0.15065733
PSMB11,0.11123663
ADCY1,0.0
SLC22A18,-1.6654328e-06
BANP,0.018914076
HSF1,-2.5546378e-06
PARP9,4.84424e-06
CIT,-0.0014453768
ST8SIA1,-0.049957
SSRP1,0.04080486
GNRH1,0.00017828342
DEFB135,0.00087393576
FGF19,0.05588418
NINL,0.4118255
RAB18,-1.5867414e-05
APLN,0.025744304
CYFIP2,0.03982742
ROPN1,0.010233164
TNFRSF18,0.0040171044
PSMF1,-0.14277557
HDAC1,-0.08156055
RFC3,0.020710815
CYP4F8,0.020571444
ARID1A,0.0
GSTZ1,0.0012714597
PDGFRB,-0.025790043
ADAMTS1,-0.08611636
KMT2A,0.19747591
COL9A2,0.0
ETNK2,0.036469147
HPGDS,0.0026056785
MAPK8,0.201276
PMEPA1,0.0
HSD3B1,-0.003786896
IL11RA,-0.015426551
HAS2,-0.08887977
ARHGEF9,0.0
DYNC1I1,0.035947282
CAPNS1,4.58055e-05
MGAT4B,-0.0102257915
BGLAP,-0.077425584
KIF21A,0.0
UBAP1,-0.09066783
DERL2,1.4417855e-06
ADD1,0.30104643
GTF2A1,0.024749989
GRIN2A,0.19023854
MYL6,0.0
NDUFS5,0.0
CASC3,0.07569844
EGR1,0.00058515026
DIO2,-0.00019309552
SREBF2,0.064421
CD36,0.03263804
PLA2G2F,-0.029839415
TGFBR2,0.4934151
KALRN,0.11115752
OSBPL1A,-0.0065584173
P2RY12,0.008058048
MAPKAP1,0.0
VIPR1,-0.0009790921
CDC6,0.062474884
VDR,-0.02999699
SLC30A7,0.0
GJA4,-0.010579815
VANGL2,0.0011952601
CTBP1,0.021305546
PREX1,-0.108565934
BMI1,0.023208566
HDAC3,0.3156906
PPARGC1A,0.043755606
CDK13,0.0
SAFB,0.0
SQLE,0.0061634015
RABGGTB,0.31944096
TSHR,0.52220505
KDELR2,0.011889898
PTPN18,0.003165231
RRAGC,0.0
H1F0,0.06711316
TUBB4B,0.0
CHRNA9,0.003056761
GHRL,0.108585514
RPS2,0.0
RAC1,0.27490577
CYP39A1,0.008330833
PTGER1,0.013202692
ZNF131,-0.0022390457
PIK3R3,0.0
POLE4,0.006048755
SH3GL2,0.12837987
SNRPA1,-0.2798891
VPS28,0.14425778
RXFP4,-0.16945997
PAFAH1B3,-0.00017129692
PARP14,1.3445173e-05
CBX5,0.0
RRM2,0.0011829634
ARHGEF1,-0.016730798
GATA2,0.0010808362
AGT,0.054282147
E2F2,-3.7566002e-07
P2RY1,0.05455845
GPC3,0.0071928697
TAOK1,0.0
DLD,0.0
GPX4,8.457402e-06
FUOM,0.30756357
RARRES3,0.004164789
CYP3A43,0.014090481
FADS1,-0.0006508046
PTK2,0.3642056
SLC6A1,0.00050516834
HYAL3,0.01564289
TMEM126B,0.029215517
SLC25A4,0.0
FZD1,0.0057351342
ABLIM2,0.12115869
IL5RA,-0.007315714
CTNNB1,-0.064690486
TAF9,-0.01587167
ERCC4,0.37736595
EFNB3,-0.00017557034
PKN3,-0.03060874
CEP164,0.49687696
IFNA4,0.0603616
NDC1,0.0
ARHGEF17,0.39948934
ZNF385A,0.0
VBP1,0.0132760275
ETHE1,-0.0145812305
WWP2,-0.009426285
NCSTN,0.018979829
TRPC1,-9.0426634e-05
SEC13,0.06505769
PICK1,-0.07870389
PTGDR2,-0.01751613
GPER1,0.30738977
DVL1,0.000870332
CHRNG,0.020607652
TUBGCP6,0.23498055
BDKRB1,0.008096695
JAG1,-0.03594409
FGF20,0.08424069
CAPN2,0.00013119787
MYD88,-0.013569815
EIF4G2,0.005310595
SLC30A5,-0.04181272
STAG1,0.043084316
GLI2,0.02303496
TUBGCP4,-0.014520215
PLEKHA4,0.0
EFNA4,0.0008048021
SCN11A,-0.0014374242
DEFB1,0.00873394
ARHGEF11,0.045494266
LTB4R2,-0.032558426
GRIA4,-0.2230943
CYP46A1,-0.0073067383
NUP205,0.27311784
