name,values
"('SMOX', 'snv_data')",0.0
"('SMOX', 'cnv_amp')",0.0
"('SMOX', 'cnv_del')",0.0
"('DEFB106A', 'snv_data')",0.0
"('DEFB106A', 'cnv_amp')",7.2647965e-10
"('DEFB106A', 'cnv_del')",0.0
"('C1R', 'snv_data')",3.122821e-05
"('C1R', 'cnv_amp')",0.0
"('C1R', 'cnv_del')",0.0
"('ST3GAL2', 'snv_data')",0.010875944
"('ST3GAL2', 'cnv_amp')",0.0
"('ST3GAL2', 'cnv_del')",0.0
"('PDIA3', 'snv_data')",0.0
"('PDIA3', 'cnv_amp')",0.0
"('PDIA3', 'cnv_del')",3.728755e-05
"('ESRP1', 'snv_data')",0.0
"('ESRP1', 'cnv_amp')",0.0
"('ESRP1', 'cnv_del')",0.0
"('CTDNEP1', 'snv_data')",0.0
"('CTDNEP1', 'cnv_amp')",0.0
"('CTDNEP1', 'cnv_del')",0.0
"('NET1', 'snv_data')",0.0
"('NET1', 'cnv_amp')",0.0
"('NET1', 'cnv_del')",-0.021468502
"('ACKR4', 'snv_data')",0.0
"('ACKR4', 'cnv_amp')",0.0
"('ACKR4', 'cnv_del')",0.045145962
"('KIFC2', 'snv_data')",0.0
"('KIFC2', 'cnv_amp')",0.0
"('KIFC2', 'cnv_del')",-0.0025308356
"('HERPUD1', 'snv_data')",0.0
"('HERPUD1', 'cnv_amp')",-0.00079338695
"('HERPUD1', 'cnv_del')",0.0
"('HIST3H2BB', 'snv_data')",0.0068139797
"('HIST3H2BB', 'cnv_amp')",0.0
"('HIST3H2BB', 'cnv_del')",0.0
"('MCF2L', 'snv_data')",0.32058477
"('MCF2L', 'cnv_amp')",0.0
"('MCF2L', 'cnv_del')",0.0
"('NMB', 'snv_data')",-0.00061738334
"('NMB', 'cnv_amp')",0.0
"('NMB', 'cnv_del')",0.0
"('NDUFAF5', 'snv_data')",0.0
"('NDUFAF5', 'cnv_amp')",0.0
"('NDUFAF5', 'cnv_del')",-0.029780371
"('COPZ1', 'snv_data')",0.0
"('COPZ1', 'cnv_amp')",0.0
"('COPZ1', 'cnv_del')",0.0
"('IFNA7', 'snv_data')",0.039540194
"('IFNA7', 'cnv_amp')",0.029065117
"('IFNA7', 'cnv_del')",0.0
"('KIF18A', 'snv_data')",0.065993555
"('KIF18A', 'cnv_amp')",0.0
"('KIF18A', 'cnv_del')",0.0
"('TMED3', 'snv_data')",0.0
"('TMED3', 'cnv_amp')",0.0
"('TMED3', 'cnv_del')",0.0
"('GNS', 'snv_data')",4.8546484e-05
"('GNS', 'cnv_amp')",0.0
"('GNS', 'cnv_del')",0.0
"('FLT4', 'snv_data')",0.0
"('FLT4', 'cnv_amp')",0.0041488484
"('FLT4', 'cnv_del')",0.0
"('IFNA5', 'snv_data')",0.0
"('IFNA5', 'cnv_amp')",0.034546863
"('IFNA5', 'cnv_del')",0.0
"('ACOX3', 'snv_data')",0.0
"('ACOX3', 'cnv_amp')",0.0
"('ACOX3', 'cnv_del')",0.0016631894
"('TAF13', 'snv_data')",0.005634632
"('TAF13', 'cnv_amp')",0.0
"('TAF13', 'cnv_del')",0.0
"('PISD', 'snv_data')",9.262921e-06
"('PISD', 'cnv_amp')",0.0
"('PISD', 'cnv_del')",0.0
"('PON2', 'snv_data')",0.0
"('PON2', 'cnv_amp')",0.0
"('PON2', 'cnv_del')",0.00010579213
"('DCTN6', 'snv_data')",0.0
"('DCTN6', 'cnv_amp')",0.0023502912
"('DCTN6', 'cnv_del')",0.0
"('CCK', 'snv_data')",0.0
"('CCK', 'cnv_amp')",0.0
"('CCK', 'cnv_del')",-0.012934895
"('WWP1', 'snv_data')",0.049285248
"('WWP1', 'cnv_amp')",0.0
"('WWP1', 'cnv_del')",0.0
"('ACTR2', 'snv_data')",0.034082737
"('ACTR2', 'cnv_amp')",0.0
"('ACTR2', 'cnv_del')",0.0
"('TAAR5', 'snv_data')",0.0
"('TAAR5', 'cnv_amp')",0.0
"('TAAR5', 'cnv_del')",0.0
"('MAD1L1', 'snv_data')",0.0
"('MAD1L1', 'cnv_amp')",0.09899185
"('MAD1L1', 'cnv_del')",-0.014221298
"('UPF3B', 'snv_data')",0.0
"('UPF3B', 'cnv_amp')",0.0
"('UPF3B', 'cnv_del')",-0.0010530187
"('FLT3', 'snv_data')",-0.15200368
"('FLT3', 'cnv_amp')",0.0
"('FLT3', 'cnv_del')",0.0
"('RHO', 'snv_data')",0.0
"('RHO', 'cnv_amp')",0.00776643
"('RHO', 'cnv_del')",0.0014293588
"('GPD2', 'snv_data')",0.0
"('GPD2', 'cnv_amp')",-0.08102551
"('GPD2', 'cnv_del')",0.0
"('PIP4K2B', 'snv_data')",0.23542103
"('PIP4K2B', 'cnv_amp')",0.0
"('PIP4K2B', 'cnv_del')",0.0
"('PDCD6IP', 'snv_data')",0.0
"('PDCD6IP', 'cnv_amp')",0.0
"('PDCD6IP', 'cnv_del')",-0.017569039
"('RASA2', 'snv_data')",0.0
"('RASA2', 'cnv_amp')",0.0
"('RASA2', 'cnv_del')",0.00453287
"('CLSPN', 'snv_data')",0.0
"('CLSPN', 'cnv_amp')",0.0017253287
"('CLSPN', 'cnv_del')",-0.0025334922
"('IL1RN', 'snv_data')",0.0
"('IL1RN', 'cnv_amp')",0.0047656535
"('IL1RN', 'cnv_del')",0.0
"('CYP26A1', 'snv_data')",0.008041201
"('CYP26A1', 'cnv_amp')",0.0
"('CYP26A1', 'cnv_del')",0.0
"('TCF7', 'snv_data')",0.0
"('TCF7', 'cnv_amp')",0.0
"('TCF7', 'cnv_del')",-3.651855e-05
"('ACTG1', 'snv_data')",0.021235656
"('ACTG1', 'cnv_amp')",0.0
"('ACTG1', 'cnv_del')",0.0
"('FGF2', 'snv_data')",0.009227979
"('FGF2', 'cnv_amp')",0.0
"('FGF2', 'cnv_del')",0.0
"('CHMP3', 'snv_data')",0.0
"('CHMP3', 'cnv_amp')",0.0
"('CHMP3', 'cnv_del')",0.0
"('SMUG1', 'snv_data')",0.0
"('SMUG1', 'cnv_amp')",0.0
"('SMUG1', 'cnv_del')",0.0
"('KIF22', 'snv_data')",0.22225738
"('KIF22', 'cnv_amp')",0.0
"('KIF22', 'cnv_del')",0.0
"('STEAP3', 'snv_data')",0.0
"('STEAP3', 'cnv_amp')",0.025469568
"('STEAP3', 'cnv_del')",0.030240748
"('UPF3A', 'snv_data')",0.0005587695
"('UPF3A', 'cnv_amp')",0.0
"('UPF3A', 'cnv_del')",0.0
"('ARHGEF10L', 'snv_data')",0.0
"('ARHGEF10L', 'cnv_amp')",-0.10004637
"('ARHGEF10L', 'cnv_del')",0.064234644
"('PCM1', 'snv_data')",0.0
"('PCM1', 'cnv_amp')",0.0013873677
"('PCM1', 'cnv_del')",0.0
"('C1QC', 'snv_data')",0.0
"('C1QC', 'cnv_amp')",-7.8333176e-07
"('C1QC', 'cnv_del')",0.0
"('CHST8', 'snv_data')",0.0
"('CHST8', 'cnv_amp')",0.1974833
"('CHST8', 'cnv_del')",0.0
"('PAFAH1B1', 'snv_data')",0.0
"('PAFAH1B1', 'cnv_amp')",0.0
"('PAFAH1B1', 'cnv_del')",-0.16629454
"('KMT2D', 'snv_data')",0.0
"('KMT2D', 'cnv_amp')",0.0
"('KMT2D', 'cnv_del')",-0.0023289928
